# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:18:13
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-10.0,-20.0,-20.0,-0.027606547089394973,0.006587656040727002,0.008955018617700095,0.0604554029893037,0.09496682512913995,-0.004078737212153696
-10.0,-20.0,-15.0,-0.024377486929028996,0.0049136130101470055,0.011543594274549096,0.0581027920600999,0.11417319293003303,-0.0025413542281676957
-10.0,-20.0,-10.0,-0.022541842109080897,0.005799297065121001,0.01703401735489596,0.056482726490912294,0.138979614093199,-0.0019002852537328974
-10.0,-20.0,-5.0,-0.01928825976261922,0.010359575248820002,0.0020932644346099982,0.0557165421197275,0.109699177920415,-0.0036981690060501962
-10.0,-20.0,0.0,-0.01510207768336328,0.015605505707511985,-0.008541621428648005,0.05618242137062181,0.088827837678876,-0.005735834095270301
-10.0,-20.0,5.0,-0.0107010309402788,0.018710750326332987,-0.018619339139507085,0.05716212032062781,0.07100165242349141,-0.006912714413886099
-10.0,-20.0,10.0,-0.00734713663492631,0.018627080050274997,-0.02522798843629004,0.058666321729809706,0.0574552590653588,-0.006402319229514501
-10.0,-20.0,15.0,-0.0038055226155029875,0.018034184990742996,-0.02918336382353992,0.0609007545156198,0.04681746853300903,-0.005417776842683096
-10.0,-20.0,20.0,-0.00016364589135203778,0.017821241966716,-0.03115579781543998,0.06393148422297565,0.03801939113011504,-0.004266556453371401
-10.0,-10.0,-20.0,-0.023000521338492008,0.0050746574242449966,0.012457915079220117,0.06545961193202449,0.06414864397266401,-0.006299912027474503
-10.0,-10.0,-15.0,-0.021634111577891996,0.0028298517465639994,0.013341736037448926,0.0637406491175866,0.07617757950121601,-0.003930924893095499
-10.0,-10.0,-10.0,-0.020211793753755,0.0034642873916090056,0.015001267237356952,0.0625192468871866,0.08821565640227796,-0.002650604154327
-10.0,-10.0,-5.0,-0.019507332088195432,0.009805856055928402,0.006478344649572004,0.06229928183977639,0.07313263251304802,-0.004175866601345498
-10.0,-10.0,0.0,-0.0177261824009912,0.016534337453602402,-0.00014899287636599423,0.06304290091281796,0.06160364774556901,-0.005946672625086439
-10.0,-10.0,5.0,-0.015805235513141738,0.021196399122553194,-0.0057620974039840345,0.06433161477427192,0.0519501801898993,-0.00683924458851705
-10.0,-10.0,10.0,-0.014495865620100093,0.020901021578833903,-0.01042318149159005,0.065730367869325,0.043202794422727106,-0.0053873828112055
-10.0,-10.0,15.0,-0.013122448738967979,0.019233003922826397,-0.0139165829727399,0.0674478837493211,0.03609878277508799,-0.0031379436922450987
-10.0,-10.0,20.0,-0.011585811438987015,0.01787705745625949,-0.016510972361570175,0.0696940457242188,0.029989169523861048,-0.0008010994376110026
-10.0,0.0,-20.0,-0.02136435252095098,0.00356197615476553,0.007254777518310052,0.06722970116465551,0.009420690886298988,-0.007351361625826119
-10.0,0.0,-15.0,-0.021604965869022996,0.00222300152998938,0.00545314465687996,0.06613210946056913,0.009549249423741968,-0.005122729804874
-10.0,0.0,-10.0,-0.0217057999622377,0.002552244608684415,0.0036751229721559975,0.06574319363387177,0.009654146516448997,-0.003708716397481847
-10.0,0.0,-5.0,-0.022015919233867177,0.008421897759350434,0.0021498505611829977,0.06519368254650612,0.010382502726839993,-0.004613146637294283
-10.0,0.0,0.0,-0.0215638437847195,-0.0037269420474528745,0.0001848620616909935,0.0651417146560197,0.009821390255864995,0.0023221694261458406
-10.0,0.0,5.0,-0.022024549811404733,0.01630982141509316,-0.0013606963523680182,0.06658024546076619,0.01047008935067965,-0.004987337038603198
-10.0,0.0,10.0,-0.021939344874784994,0.01885388284858425,-0.003125839651950013,0.06797856187497904,0.01048594542414899,-0.004492948290792106
