# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:15:36
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,-20.0,-0.03769351515108199,-0.008467284898453997,0.2799368969879701,0.004216356213844391,0.6995264148406729,0.002886823400524298
-20.0,-20.0,-15.0,-0.042778366800348994,-0.009345479262058004,0.266406213129854,0.0040734414512322015,0.666222321708964,0.0036687251683013983
-20.0,-20.0,-10.0,-0.0468761976777803,-0.009658959890186003,0.25373515244842393,0.003719398238636304,0.6342827792268231,0.004127011827022402
-20.0,-20.0,-5.0,-0.0497285730817294,-0.009655130558536007,0.25337477048770995,0.004490109623813403,0.634012509836523,0.004482415067416801
-20.0,-20.0,0.0,-0.05053182450930718,-0.008367741920498994,0.2521228799548909,0.004811120954219299,0.630570436055063,0.003901954130528299
-20.0,-20.0,5.0,-0.0514944285231846,-0.006486478664024992,0.24634589857489197,0.00411667490699118,0.6133163910045084,0.003068375656635501
-20.0,-20.0,10.0,-0.054947992771322306,-0.005517829626765003,0.24113914238741208,0.0033394272464627,0.5971359107038791,0.0029839829544585986
-20.0,-20.0,15.0,-0.05929676787985,-0.0050888760558150115,0.2423114325701301,0.003285123254415899,0.5974054153741359,0.0032180758559731994
-20.0,-20.0,20.0,-0.06406425654402603,-0.004551367917437016,0.24619238272209,0.0032675662001539,0.604050138286352,0.003365627359999096
-20.0,-10.0,-20.0,-0.026720981252246034,-0.004212441280455004,0.2853895083286302,0.002151402444359095,0.711015046662653,0.001296355796172998
-20.0,-10.0,-15.0,-0.032922013427485006,-0.004314904228827493,0.27563414801436903,0.0021809766957828006,0.6872581471402319,0.0015655758384874006
-20.0,-10.0,-10.0,-0.03806185622841721,-0.004528975977801206,0.26747584042223294,0.002184338905914702,0.667311163400283,0.0017726940547385002
-20.0,-10.0,-5.0,-0.04283957389697483,-0.004158794608940794,0.262087933049364,0.0020849536829039977,0.653540058570363,0.0017825644172687997
-20.0,-10.0,0.0,-0.0469747666775215,-0.0028786137724303995,0.2616693629317787,0.0023852738592683,0.652177155315831,0.0013790430429579306
-20.0,-10.0,5.0,-0.0512604815329666,-0.0016284795542706038,0.25740318042554,0.0021390070077930883,0.6397042737661092,0.0009889346310291303
-20.0,-10.0,10.0,-0.056764118798300095,-0.0014970335324435008,0.2525019316731759,0.0016906118771488014,0.6249401549071191,0.0010808106596949096
-20.0,-10.0,15.0,-0.062753806179985,-0.0016958068152733985,0.25417100437369,0.0017311858135634975,0.626803134650768,0.0013415609453880008
-20.0,-10.0,20.0,-0.06917878499679103,-0.0014081401971967056,0.25696633151313986,0.0017160074542353007,0.6308584094210951,0.0013838282340452
-20.0,0.0,-20.0,-0.023356377134280015,-8.169377082252139e-17,0.28733748072411003,2.1738082006322532e-16,0.7152438649563281,-9.163987452361441e-18
-20.0,0.0,-15.0,-0.029991221517711997,-1.0992697138760897e-17,0.27854046838410995,-2.2713679351422463e-16,0.693760039108375,-4.637037453098607e-17
-20.0,0.0,-10.0,-0.0359756910294458,2.7738578884337403e-18,0.271161684166877,2.4185449351669098e-17,0.675991611272275,7.066585226042597e-19
-20.0,0.0,-5.0,-0.04046405689539788,5.328520652099677e-17,0.26620213815079397,-4.42457362300268e-17,0.661731376796126,-5.576609186535677e-17
-20.0,0.0,0.0,-0.0465676631370273,-8.867710827591907e-18,0.26171607126759777,-1.5632601106149082e-17,0.651385962467421,1.4326577186044604e-17
-20.0,0.0,5.0,-0.0521806980857958,1.6360921929542302e-17,0.259272252502508,-6.6301644062691064e-18,0.6439666314184764,1.07152733735697e-17
-20.0,0.0,10.0,-0.0580874448440595,9.3860910583496e-18,0.25831169079846494,7.181115237974729e-17,0.639712369672623,-1.80747237902093e-17
-20.0,0.0,15.0,-0.06446579856532,-3.5772890195705307e-17,0.25881386824851016,1.3810743962153995e-17,0.6385647898762521,4.67664860954678e-17
-20.0,0.0,20.0,-0.07114150069548103,-7.68683870716596e-17,0.26074625731025014,-8.41654588906801e-18,0.64039768376924,3.679710814365602e-17
-20.0,10.0,-20.0,-0.026720981252245035,0.004212441280454504,0.2853895083286302,-0.0021514024443591018,0.7110150466626439,-0.0012963557961730987
-20.0,10.0,-15.0,-0.032922013427485006,0.00431490422882759,0.27563414801436004,-0.0021809766957827034,0.6872581471402319,-0.0015655758384873
-20.0,10.0,-10.0,-0.038061856228417304,0.0045289759778014,0.26747584042223294,-0.0021843389059146984,0.667311163400282,-0.0017726940547383996
-20.0,10.0,-5.0,-0.04283957389697493,0.004158794608940905,0.262087933049364,-0.0020849536829039977,0.653540058570363,-0.0017825644172689004
-20.0,10.0,0.0,-0.046974766677521505,0.0028786137724303995,0.2616693629317777,-0.0023852738592683304,0.65217715531583,-0.0013790430429579306
-20.0,10.0,5.0,-0.0512604815329666,0.0016284795542706038,0.257403180425541,-0.002139007007793005,0.6397042737661104,-0.0009889346310291
-20.0,10.0,10.0,-0.0567641187983,0.0014970335324435008,0.2525019316731759,-0.0016906118771488014,0.6249401549071191,-0.0010808106596949807
-20.0,10.0,15.0,-0.062753806179985,0.0016958068152734956,0.25417100437368,-0.0017311858135632026,0.626803134650768,-0.0013415609453881015
-20.0,10.0,20.0,-0.06917878499679103,0.0014081401971967056,0.25696633151312986,-0.0017160074542354013,0.630858409421095,-0.0013838282340449988
