# Aircraft: Aeroscout
# Date Generated: 2025-03-24 12:12:58
# Reference Area (ft^2): 2.265625
# Longitudinal Reference Length (ft): 0.6259
# Lateral Reference Length (ft): 3.625
parameter,independent_variables,3
parameter,coordinate_system,body

rudder[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-25.0,-20.0,-20.0,-0.010839968679110967,-0.05848062253271802,0.004265928959530152,-0.0035280984665518045,0.016454120665441996,0.027937765566275
-25.0,-20.0,-15.0,-0.011743465809851,-0.06024054281531299,0.005635603277873047,-0.0032644530799344,0.020082285025515012,0.028834760642944303
-25.0,-20.0,-10.0,-0.0122724448926173,-0.060706059055009004,0.007027995227168016,-0.0030641982915545,0.023511668195227986,0.02920237546944905
-25.0,-20.0,-5.0,-0.01241327708882224,-0.05945080463814201,0.007304523321676998,-0.0028579729681537,0.02396101721897001,0.028809177568563073
-25.0,-20.0,0.0,-0.01140414624595658,-0.057649138134749006,0.006080420512876994,-0.002792320702255,0.020261305923513995,0.02808092263718956
-25.0,-20.0,5.0,-0.0102821721669775,-0.055637300127466,0.004858471133476927,-0.0027870017554354597,0.016169437533267002,0.02727319599719809
-25.0,-20.0,10.0,-0.009423482831497201,-0.05320847342885601,0.0029221713629499213,-0.0027676676678928987,0.010332274955063711,0.02635725222038898
-25.0,-20.0,15.0,-0.008204247333228998,-0.050723498618976,0.0017699298207800584,-0.002683940791308098,0.0064420877471810245,0.02539527592565495
-25.0,-20.0,20.0,-0.00695064060512901,-0.04754001456425701,0.00045004786775004746,-0.0025829171410703053,0.00221259613514202,0.024071607922169398
-25.0,-10.0,-20.0,-0.011893963589757028,-0.0568150297533223,0.003132847567870023,-0.0032454901046322024,0.013574000923597007,0.0271710870342166
-25.0,-10.0,-15.0,-0.012359114201572013,-0.05858680409501899,0.0036572808028189074,-0.0030134507550853007,0.015016588720060009,0.02805551154474547
-25.0,-10.0,-10.0,-0.012517949891612902,-0.0589578362604092,0.004125676724916927,-0.0028425355929599973,0.016191908554965995,0.0283582202653919
-25.0,-10.0,-5.0,-0.012862291784186929,-0.058111652568652895,0.004160010631325983,-0.0027193047024723013,0.016145326767049023,0.028158389278739898
-25.0,-10.0,0.0,-0.0125908453383699,-0.0554517293036314,0.0035743149858290246,-0.0025930578205450097,0.014416790356127002,0.02711692167185896
-25.0,-10.0,5.0,-0.012104124774762,-0.0523177685560997,0.002902814143276977,-0.00251068522614522,0.012301503500041,0.02586262163597335
-25.0,-10.0,10.0,-0.011473233817314896,-0.049635824391093,0.002104563314899943,-0.0024707411627277985,0.009776540209506995,0.024818666217317098
-25.0,-10.0,15.0,-0.010377292953066997,-0.0463384002615071,0.0014531121780299028,-0.0023677964381418025,0.007534364631019974,0.02346613435331594
-25.0,-10.0,20.0,-0.009515178480396014,-0.0421619055989259,0.0005947494283198296,-0.002206009653903898,0.00484126575502708,0.02167834757360399
-25.0,0.0,-20.0,-0.012769011235107985,-0.05750360077461375,0.0014055487241599884,-0.003203457280878285,0.008991171527376995,0.027470860013652183
-25.0,0.0,-15.0,-0.012863971801399976,-0.05943661547895765,0.0011536931421398666,-0.002979784831191665,0.008407681130091993,0.0284270484555573
-25.0,0.0,-10.0,-0.012948982448237098,-0.06003705941649691,0.0011973318666059773,-0.0028178499680889114,0.008579886405637976,0.028847668746334893
-25.0,0.0,-5.0,-0.013070929927815078,-0.05904370379818301,0.001357218823815981,-0.002714011759742597,0.00905482381707498,0.028573614011548405
-25.0,0.0,0.0,-0.0131137016957951,-0.05447386496221724,0.0013943599690340036,-0.002532317214673986,0.009192781864024002,0.02671875112866527
-25.0,0.0,5.0,-0.013173046835619533,-0.05231416368873624,0.0013456815668889677,-0.0023993278453984354,0.00912157220940721,0.02589823554591752
-25.0,0.0,10.0,-0.013141846069854593,-0.04959402946935255,0.0013625656056099889,-0.0023884055770356824,0.009226090323913,0.024830628517940514
-25.0,0.0,15.0,-0.012986489429780007,-0.04558562221230334,0.0012002830777100293,-0.0022690941234538723,0.008809807933179037,0.023145260449152317
-25.0,0.0,20.0,-0.012677616776885003,-0.041062438554173436,0.000947984492450038,-0.0021092260124600634,0.008109443043106013,0.0211937595581588
