# AeroScout
parameter,independent variables,3
parameter,coordinate_system,body
alpha[deg],beta[deg],rudder[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,-30.0,-0.016844665194,-0.081587622031,-0.004537193686,-0.004362370681,-0.002935273642,0.036146602004
-20.0,-20.0,-20.0,-0.006950882583,-0.05647042091,-0.002729179348,-0.003043128603,-0.003193390505,0.024972768185
-20.0,-20.0,-10.0,-0.001161306841,-0.026725409856,-0.001056278966,-0.00145007285,-0.001915218208,0.011880720893
-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-20.0,10.0,-0.005099786734,0.028317628631,0.001657381793,0.001547409042,0.006238010337,-0.012622738376
-20.0,-20.0,20.0,-0.015912494143,0.063383842309,0.00323593754,0.003465130521,0.014882543497,-0.028198922082
-20.0,-20.0,30.0,-0.030804935864,0.096754556574,0.00442188221,0.005287878148,0.024463621839,-0.043240857464
-20.0,-10.0,-30.0,-0.019674885628,-0.076121815608,-0.002977624633,-0.004027503074,0.001823650201,0.033953056569
-20.0,-10.0,-20.0,-0.008788269876,-0.052023457649,-0.001624677904,-0.002769329984,0.000138541299,0.02313426516
-20.0,-10.0,-10.0,-0.001970568177,-0.024300050637,-0.000520933057,-0.001300323242,-0.000319200669,0.010852985876
-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-10.0,10.0,-0.00409017377,0.025065562822,0.001081878952,0.001346176976,0.004429015165,-0.011209168846
-20.0,-10.0,20.0,-0.013591766532,0.055356578198,0.001896494311,0.002968392676,0.01064378404,-0.024686781722
-20.0,-10.0,30.0,-0.027129572083,0.083441813073,0.002308592802,0.00446438006,0.017715872603,-0.037370120978
-20.0,0.0,-30.0,-0.023267643677,-0.076957340499,-0.000526925981,-0.004071443079,0.00918082532,0.034457202013
-20.0,0.0,-20.0,-0.011114916509,-0.05181555298,5.0140927e-05,-0.0027527902,0.005121392952,0.023112288624
-20.0,0.0,-10.0,-0.003000601038,-0.023830148433,0.000262312679,-0.001270383976,0.001991378667,0.010667110796
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.0,10.0,-0.003000601038,0.023830148433,0.000262312679,0.001270383976,0.001991378667,-0.010667110796
-20.0,0.0,20.0,-0.011114916509,0.05181555298,5.0140927e-05,0.0027527902,0.005121392952,-0.023112288624
-20.0,0.0,30.0,-0.023267643677,0.076957340499,-0.000526925981,0.004071443079,0.00918082532,-0.034457202013
-20.0,10.0,-30.0,-0.027129572083,-0.083441813073,0.002308592802,-0.00446438006,0.017715872603,0.037370120978
-20.0,10.0,-20.0,-0.013591766532,-0.055356578198,0.001896494311,-0.002968392676,0.01064378404,0.024686781722
-20.0,10.0,-10.0,-0.00409017377,-0.025065562822,0.001081878952,-0.001346176976,0.004429015165,0.011209168846
-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,10.0,10.0,-0.001970568177,0.024300050637,-0.000520933057,0.001300323242,-0.000319200669,-0.010852985876
-20.0,10.0,20.0,-0.008788269876,0.052023457649,-0.001624677904,0.002769329984,0.000138541299,-0.02313426516
-20.0,10.0,30.0,-0.019674885628,0.076121815608,-0.002977624633,0.004027503074,0.001823650201,-0.033953056569
-20.0,20.0,-30.0,-0.030804935864,-0.096754556574,0.00442188221,-0.005287878148,0.024463621839,0.043240857464
-20.0,20.0,-20.0,-0.015912494143,-0.063383842309,0.00323593754,-0.003465130521,0.014882543497,0.028198922082
-20.0,20.0,-10.0,-0.005099786734,-0.028317628631,0.001657381793,-0.001547409042,0.006238010337,0.012622738376
-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,20.0,10.0,-0.001161306841,0.026725409856,-0.001056278966,0.00145007285,-0.001915218208,-0.011880720893
-20.0,20.0,20.0,-0.006950882583,0.05647042091,-0.002729179348,0.003043128603,-0.003193390505,-0.024972768185
-20.0,20.0,30.0,-0.016844665194,0.081587622031,-0.004537193686,0.004362370681,-0.002935273642,-0.036146602004
-15.0,-20.0,-30.0,-0.01885102073,-0.088328717715,0.003256072652,-0.004221199325,0.016399620449,0.039089840519
