# Aircraft: RC BIRE
# Date Generated: 2025-04-30 14:14:21
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

BIRE[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,-20.0,0.15142770435812,0.30525817342456,1.19144718615658,-0.00116655442198307,0.408659154339124,-0.112416303877085
-45.0,-20.0,-15.0,0.0832939588040451,0.280308873412329,0.89561749731241,-0.00392130062193133,0.339118453670677,-0.092132373080865
-45.0,-20.0,-10.0,0.0257472659391417,0.255061342417326,0.601231266279354,-0.00677780611525922,0.263836623511508,-0.0733144892459111
-45.0,-20.0,-5.0,-0.0141267657920966,0.232234310821898,0.306291476054356,-0.011228138604224,0.188418599983859,-0.0576762199803307
-45.0,-20.0,0.0,-0.0324617759776953,0.215143511897337,0.0117082941050671,-0.0174190767466454,0.115964070237932,-0.0469971259278135
-45.0,-20.0,5.0,-0.027732060266909,0.195319893897632,-0.286411835256405,-0.0225621828007999,0.0350793061496719,-0.0372239131006488
-45.0,-20.0,10.0,-0.000247624335901257,0.182146865168439,-0.570324589145656,-0.0223963126603011,-0.0341308962350867,-0.0332826064240703
-45.0,-20.0,15.0,0.0457620466583612,0.171474720384706,-0.846474693866146,-0.0173095187704381,-0.0942119699160153,-0.0325812593201638
-45.0,-20.0,20.0,0.105875300585755,0.154874628707704,-1.13417946354005,-0.011729346076079,-0.164765588475812,-0.0299723184694332
-45.0,-10.0,-20.0,0.145116105514594,0.196346420175529,1.19284781442966,0.00620578688375162,0.239666906253785,-0.0811164458343229
-45.0,-10.0,-15.0,0.0700824096903267,0.16740070509596,0.88077073930653,0.00477866640915483,0.180675752232157,-0.0633471658855393
-45.0,-10.0,-10.0,0.0141334654721273,0.142803077222989,0.569479905446343,0.00252960335545169,0.128115660482473,-0.0480981546718622
-45.0,-10.0,-5.0,-0.0223449306744193,0.117240698218826,0.254154771107854,-0.000313071376562981,0.0743854292618412,-0.0331434323913803
-45.0,-10.0,0.0,-0.0390725186278592,0.101542635225669,-0.0572737125816432,-0.00555507548145552,0.0300032971072595,-0.0241781645969345
-45.0,-10.0,5.0,-0.0359154561751543,0.0925302779364808,-0.355729145353621,-0.00756089902223515,-0.0043348443878323,-0.0195504238449054
-45.0,-10.0,10.0,-0.0128641870691548,0.0754912868448698,-0.663196462664172,-0.00945191912123723,-0.0543949993290329,-0.0113559627792842
-45.0,-10.0,15.0,0.0318810182687233,0.0663224107498857,-0.957412442246407,-0.00661828838167927,-0.0923840366498578,-0.0077820127016774
-45.0,-10.0,20.0,0.0984707015199506,0.0478733864693338,-1.26244818552109,-0.00376097278360686,-0.15078243808119,0.000633124504615542
-45.0,0.0,-20.0,0.122275953766227,0.0815203033618492,1.17011002213248,0.00832258584594853,0.123774767860105,-0.0444947328676426
-45.0,0.0,-15.0,0.0515334459869655,0.055796435091198,0.849352807805413,0.00613889502262536,0.0681588521900122,-0.0303261614581782
-45.0,0.0,-10.0,0.00310798999876804,0.0368407407503141,0.529396031194757,0.00329694432771349,0.0261586271737878,-0.02001799978427
-45.0,0.0,-5.0,-0.0267421163425289,0.0237690074160299,0.212201824821438,0.000937428120358189,-0.0056613641086425,-0.0127136562090425
-45.0,0.0,0.0,-0.0407172748210057,0.00281843709618789,-0.111999734258742,0.000391216616259851,-0.0440579293815311,-0.00148272122391065
-45.0,0.0,5.0,-0.0390043445611039,-0.0174048621765756,-0.435806840637854,-0.000834968101394823,-0.0836975105846604,0.00932639062970364
-45.0,0.0,10.0,-0.0207220724411558,-0.0263838928679062,-0.739745612032613,0.00124653321826663,-0.102680018460197,0.0144064467044841
-45.0,0.0,15.0,0.0186679284960437,-0.0491879809208988,-1.05674987752018,0.00163184041569334,-0.148419395936122,0.0264753064803404
-45.0,0.0,20.0,0.0832283339813223,-0.0721518452125449,-1.36555241255082,0.00277955414501318,-0.19778737221705,0.0387383703547882
-45.0,10.0,-20.0,0.127068933371374,-0.0256843948132064,1.08063924108684,0.00787645371649059,0.0857449561447829,-0.0112721601126995
-45.0,10.0,-15.0,0.0562194835133252,-0.036175698591324,0.773211364931907,0.000810777763603096,0.0341856005324732,-0.0075756711518832
-45.0,10.0,-10.0,0.00442673667067002,-0.0465062313551979,0.466677353854464,-0.00318076770873716,-0.0127357296928415,-0.00360760072500131
-45.0,10.0,-5.0,-0.0275476445662206,-0.0631373795042628,0.156667546111196,-0.00316032497704398,-0.0613845201176692,0.00441261682218281
-45.0,10.0,0.0,-0.040518437160973,-0.0860588407881358,-0.158793488448562,-0.00060058022049531,-0.112225670043697,0.0161450422428789
-45.0,10.0,5.0,-0.0327939197233744,-0.112384973185726,-0.468593981576048,0.00406653805831637,-0.16066615641709,0.0305385963505941
-45.0,10.0,10.0,-0.00501488017145776,-0.139537239232543,-0.780430965839688,0.00615944964810284,-0.213845056921081,0.0459453360605347
-45.0,10.0,15.0,0.0441769197792251,-0.165217198554195,-1.08581769991993,0.00707046276230335,-0.265408631139342,0.0610370496880248
-45.0,10.0,20.0,0.114687084789387,-0.191939228844935,-1.38508992965299,0.00806246135473492,-0.314958302118644,0.0767557074610329
-45.0,20.0,-20.0,0.11503835122232,-0.109274098925444,0.977390337584199,0.00314210263526166,0.114395106986513,0.00654173067754926
-45.0,20.0,-15.0,0.0527374547632522,-0.128160465100476,0.67763097392179,-0.00307821648836849,0.0373978914253922,0.0105116468310974
-45.0,20.0,-10.0,0.0029614070447091,-0.145371098785316,0.384462196457476,-0.00737927771283782,-0.0373534336222867,0.014752328915029
-45.0,20.0,-5.0,-0.0279711318914604,-0.166665523934709,0.0893225127981008,-0.00743249912899283,-0.114246266860787,0.0232280048642565
-45.0,20.0,0.0,-0.0359307634035551,-0.194115715084445,-0.210326021892878,-0.0034519377476928,-0.193056952523237,0.0371830921765632
-45.0,20.0,5.0,-0.0204892961119508,-0.219391333531364,-0.503511568273919,0.00157611631688869,-0.264895318734239,0.0521104237541435
-45.0,20.0,10.0,0.0164007034691883,-0.245759915118725,-0.7922202713746,0.0052344326635405,-0.337214990825463,0.0693940877684022
-45.0,20.0,15.0,0.0709419795691422,-0.272311137369709,-1.07840805259281,0.00732226782323546,-0.408283928526208,0.0883987345379704
-45.0,20.0,20.0,0.136569022071959,-0.29603281870222,-1.36049855315767,0.0101907598423073,-0.465628795243174,0.107463675057918
-40.0,-20.0,-20.0,0.148094280535247,0.278347468975756,1.19778978615049,-0.00246682209645536,0.417716199559862,-0.097667840976884
-40.0,-20.0,-15.0,0.0805329273976256,0.256730500745145,0.901046700084248,-0.0055935966890341,0.346865890351056,-0.0791507080272274
-40.0,-20.0,-10.0,0.0233686241908561,0.234336960288239,0.604844528189123,-0.00833518786586701,0.268606682066353,-0.0618983293026261
-40.0,-20.0,-5.0,-0.0163554947314485,0.213343397839531,0.307282619566919,-0.0123948986187898,0.189013556659759,-0.0473373213657021
-40.0,-20.0,0.0,-0.0345087248851614,0.196750652326709,0.00946863312713231,-0.0181003894667046,0.111615094636224,-0.0370808841228519
-40.0,-20.0,5.0,-0.0291604774091119,0.178323383149596,-0.291374409889714,-0.02262441764883,0.0266840462384686,-0.0282633477908218
-40.0,-20.0,10.0,-0.00144209730722538,0.167052217187435,-0.573730836593046,-0.0208261394500312,-0.0397301611144982,-0.0254935802536739
-40.0,-20.0,15.0,0.0449353907431207,0.156291233817344,-0.850988023813288,-0.0148657823613568,-0.100810456924339,-0.0247828538032268
-40.0,-20.0,20.0,0.105441474586797,0.137550189821659,-1.14501938636791,-0.00963693180706569,-0.179897005815241,-0.0209492083867958
-40.0,-10.0,-20.0,0.144899178213055,0.182436663621511,1.20344373082099,0.00497936748622978,0.254732836065243,-0.0735844615509827
-40.0,-10.0,-15.0,0.0699569763126406,0.156458971803343,0.889887618762815,0.00330792093711908,0.193721919955348,-0.0573745937307857
-40.0,-10.0,-10.0,0.0137315617983696,0.132329877862775,0.57492431256591,0.00160060631669884,0.135762288028276,-0.042403337911775
-40.0,-10.0,-5.0,-0.0228176351975119,0.108485934143089,0.256757388378436,-0.000981723815635268,0.0780157216889462,-0.0283664677381003
-40.0,-10.0,0.0,-0.0394699435085577,0.0932453992458306,-0.0572593445575621,-0.00558286392695147,0.0301812745140151,-0.0197354947845475
-40.0,-10.0,5.0,-0.0364267144380514,0.084460551879112,-0.356560392903465,-0.00731084310962754,-0.0057866297266945,-0.0151670707453977
-40.0,-10.0,10.0,-0.0130909621509913,0.0674205492692923,-0.668021383128061,-0.00919917667340859,-0.0616348799061088,-0.00700707498193062
-40.0,-10.0,15.0,0.0318384499207487,0.0565953190432588,-0.966627605954646,-0.00619392513401955,-0.105310475000246,-0.00259952538571177
-40.0,-10.0,20.0,0.0989298318041664,0.038077362363565,-1.27604897829084,-0.00309320950140428,-0.169395622079761,0.00587173436364877
-40.0,0.0,-20.0,0.123411126637711,0.0798207736692639,1.18406098185675,0.0073565457474386,0.143291528472888,-0.0437001129779238
