# Aircraft: RC BIRE
# Date Generated: 2025-04-30 14:43:18
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,4
parameter,coordinate_system,body

BIRE[deg],elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-30.0,-20.0,-20.0,-0.0874620447548749,0.187657311038687,0.1910005748408099,-0.0034314907281688296,0.27207588185609105,-0.102118358117136
-45.0,-30.0,-20.0,-15.0,-0.08621069364580711,0.171382590754043,0.17226290485702989,-0.00556866992371405,0.247065986258535,-0.092402103418016
-45.0,-30.0,-20.0,-10.0,-0.0839337607305268,0.15779627052140305,0.15509508251815907,-0.00811594966040708,0.223241160699031,-0.08441425735886192
-45.0,-30.0,-20.0,-5.0,-0.0806894039889809,0.14855444030904602,0.13972124251090595,-0.0113113319512349,0.200738058892848,-0.07909334539160928
-45.0,-30.0,-20.0,0.0,-0.0766774084720507,0.143317686989841,0.1256505472409379,-0.014982136300125803,0.17863098376944103,-0.07627630178683051
-45.0,-30.0,-20.0,5.0,-0.0709329695371114,0.141336925755012,0.11342056974096101,-0.0186754198281726,0.1575867918676661,-0.0755872045317412
-45.0,-30.0,-20.0,10.0,-0.06860972843291414,0.14532166934154297,0.11317232328866,-0.019183044253336,0.1559327056815077,-0.0779516896987497
-45.0,-30.0,-20.0,15.0,-0.0693900918986741,0.149942845381744,0.12041136148282305,-0.0184330716899259,0.16587083530987912,-0.0801601012198082
-45.0,-30.0,-20.0,20.0,-0.0689310938564821,0.14760618146565,0.11217352740748998,-0.0210854549085355,0.15126495087784178,-0.0785891367914828
-45.0,-30.0,-10.0,-20.0,-0.0821133458607907,0.154221527019628,0.16363830546723013,0.0038647667662745806,0.227944956224719,-0.08514547274955511
-45.0,-30.0,-10.0,-15.0,-0.07995201601894196,0.139888055000969,0.14756692578071995,0.0019133501188186401,0.20716103909028097,-0.0766847481561767
-45.0,-30.0,-10.0,-10.0,-0.07693403389011369,0.12946647723393204,0.13503019041823805,-0.0006941758099764598,0.190869225101682,-0.0704878183578288
-45.0,-30.0,-10.0,-5.0,-0.0733416306909492,0.123580797440714,0.12498623252319502,-0.003785291238732229,0.17725917746148578,-0.06692178549820371
-45.0,-30.0,-10.0,0.0,-0.06980622923699481,0.122682058200512,0.1153395440790662,-0.00716051487157278,0.1626635077896775,-0.06640412373596409
-45.0,-30.0,-10.0,5.0,-0.0676514579290407,0.12702134472582718,0.11928995839856799,-0.00857026206290715,0.1677007929848703,-0.0686221184843061
-45.0,-30.0,-10.0,10.0,-0.06544585075892399,0.1309017361545822,0.11835932849957298,-0.01078651717644267,0.1650362022509819,-0.0707633591877149
-45.0,-30.0,-10.0,15.0,-0.066012004184155,0.12957487599529133,0.11054596761774593,-0.01529569680071313,0.151795778418276,-0.0695701687963879
-45.0,-30.0,-10.0,20.0,-0.0622085391280609,0.13533021847983523,0.10861940298593997,-0.01736347862307654,0.14622205678920763,-0.07278052424460554
-45.0,-30.0,0.0,-20.0,-0.0725070799994198,0.1237710595716558,0.15073440254605996,0.01241582532850137,0.20747006229027598,-0.0681610260084814
-45.0,-30.0,0.0,-15.0,-0.0696569423582498,0.112140122157943,0.13745004616411505,0.010473550819960839,0.1908132253680428,-0.061486328470887495
-45.0,-30.0,0.0,-10.0,-0.06731067127151924,0.1093001668321909,0.12944699417697103,0.0069199819366165104,0.18101267475472618,-0.05977937613016529
-45.0,-30.0,0.0,-5.0,-0.0660541897379896,0.1096927861654851,0.12296360737310696,0.0035200708605677908,0.17237974991211052,-0.059862161600326
-45.0,-30.0,0.0,0.0,-0.06322584562544531,0.11022034393399112,0.11859064692901282,0.00042683987903722,0.1664295263077661,-0.06004421726221985
-45.0,-30.0,0.0,5.0,-0.0603995759961851,0.11375919672394891,0.11560061510764502,-0.0025752907562024566,0.1613683073042229,-0.06206988647997074
-45.0,-30.0,0.0,10.0,-0.060346865943030806,0.11729738327794209,0.11187438591897103,-0.00595186670604822,0.1554100628516331,-0.0639210153253723
-45.0,-30.0,0.0,15.0,-0.058219328791092796,0.1254714831137681,0.11560303000541605,-0.008128811739552471,0.15886500864888078,-0.0684185262923698
-45.0,-30.0,0.0,20.0,-0.0566938734506518,0.1357545212449063,0.12240233990944005,-0.00934105569682647,0.16698272895771882,-0.073980167661391
-45.0,-30.0,10.0,-20.0,-0.06092291649485321,0.1094559010995348,0.15520747877409002,0.01741997888031601,0.2157750967687831,-0.0587135426810065
-45.0,-30.0,10.0,-15.0,-0.06084071735644967,0.11368308466463731,0.14777003266339594,0.013638929730120304,0.2056298895664468,-0.0613279186963682
-45.0,-30.0,10.0,-10.0,-0.06188078253180842,0.11169108071792139,0.13911276360646102,0.01099446447235916,0.1937595919273955,-0.060654322099930894
-45.0,-30.0,10.0,-5.0,-0.0613963724016122,0.10596781395086101,0.13036882745439904,0.00965229258305992,0.1818191029364292,-0.05757510452478751
-45.0,-30.0,10.0,0.0,-0.057696544916888096,0.10414975191171341,0.1274938036887554,0.0072679109066581,0.1787556102241957,-0.0565293038453996
-45.0,-30.0,10.0,5.0,-0.055297788704556795,0.10979880146839999,0.12820576853281695,0.00403846447336985,0.1801647888094565,-0.059519220130567
-45.0,-30.0,10.0,10.0,-0.053944121756459844,0.1177464617528482,0.12969079550534302,0.0013097081167074203,0.1813813756248969,-0.0640375891542154
