# Aircraft: RC BIRE
# Date Generated: 2025-04-30 15:39:34
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

BIRE[deg],pbar,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-0.08567979964335799,-20.0,0.007538030154173994,0.02609478963613779,0.01258849364523984,0.056558156512371574,0.0005772349047410003,-0.019485000805965595
-45.0,-0.08567979964335799,-15.0,0.0055395424470841975,0.024137520118440003,0.016462654044446023,0.04140249543683514,0.01157547337771049,-0.016587649229547398
-45.0,-0.08567979964335799,-10.0,0.00307766212393569,0.006808229492442502,0.005488001778575002,0.03380536750314661,0.0005124099309812002,-0.005766347561423298
-45.0,-0.08567979964335799,-5.0,0.001999288452504102,0.0047038825206508,0.004815076695347975,0.02710147285445301,0.0034929218378952197,-0.0033661991240317
-45.0,-0.08567979964335799,0.0,0.0015816884096579997,-0.002627987711809139,-0.0015346095519360031,0.025465352577857047,-0.0006513866429209009,0.0015558570862440363
-45.0,-0.08567979964335799,5.0,0.0021584039219398055,-0.009478669178547599,-0.005116680176195987,0.028804972231907023,-0.0024989441027261916,0.006269868662714959
-45.0,-0.08567979964335799,10.0,0.006428270194870401,-0.04263534005423951,-0.04850670304476601,0.029147273975405768,-0.058301984269850005,0.024502798279372198
-45.0,-0.08567979964335799,15.0,0.005516666981951,-0.020066644277919106,-0.008962859346800078,0.048182415387527655,0.0006778020681949826,0.0148181116325822
-45.0,-0.08567979964335799,20.0,0.008865641830045304,0.013050004629609403,0.05332352974860011,0.08434062864805482,0.1067226944697687,-0.0039043885778659027
-45.0,-0.07139983303613166,-20.0,0.0051674486960549965,0.016477511575399298,0.004787728692490001,0.048612109544097865,-0.006047028301795002,-0.013212993982037999
-45.0,-0.07139983303613166,-15.0,0.0033685105725271974,0.010567366363012407,0.004753096413650959,0.03676659094790334,-0.0017281679128515054,-0.0086350778243737
-45.0,-0.07139983303613166,-10.0,0.00214596226336826,0.005435138543632902,0.003480279764015992,0.028129540431923908,-9.759315676450067e-05,-0.00466691105747
-45.0,-0.07139983303613166,-5.0,0.0016217108335305,0.014555769774860401,0.012866951791785985,0.020891976362481912,0.01487989674481017,-0.0081964153188185
-45.0,-0.07139983303613166,0.0,0.001081560524111,-0.002186153068644315,-0.0013392089823869996,0.02115682224381145,-0.0004284473299163011,0.00129305324048971
-45.0,-0.07139983303613166,5.0,0.0014894636795214009,-0.007436851332439598,-0.0030582631495769674,0.024004252182701222,-0.001105934405358694,0.00498206787929446
-45.0,-0.07139983303613166,10.0,0.002289024443029801,-0.009610431726418397,0.0013562085736590346,0.031310202106000974,0.007583727246632602,0.007237566837181599
-45.0,-0.07139983303613166,15.0,0.003184061367576499,-0.014235826695037403,0.0057452217787801185,0.04231907005586596,0.01812086924852699,0.010946161970608697
-45.0,-0.07139983303613166,20.0,0.0056388521440513956,-0.03266458189652309,-0.007128599625950027,0.050687847280028224,0.002998942328364007,0.022588382420450102
-45.0,-0.057119866428905326,-20.0,0.003609185585652,0.01444457920920389,0.006999928381310028,0.03783717593531197,0.0023609776430470186,-0.011181317545193699
-45.0,-0.057119866428905326,-15.0,0.0021450785273898,0.008644160323934308,0.002801253417066052,0.02929738677857964,-0.0015719460701972,-0.007005051666675796
-45.0,-0.057119866428905326,-10.0,0.0014567264457996205,0.005404858078155099,0.0029456565330590045,0.02220726889110571,0.0009308383687412006,-0.0042906131100225
-45.0,-0.057119866428905326,-5.0,0.0010142096011777,0.0885925730117611,0.07875192048887197,0.004665002144797111,0.1029540882045454,-0.0453599529449356
-45.0,-0.057119866428905326,0.0,0.000671729348797799,-0.001753244039628,-0.0012332949240019958,0.016885908203286247,-0.00023086001422349678,0.001035697982521437
-45.0,-0.057119866428905326,5.0,0.0009287590743550025,-0.005086953740669097,-0.0008061162397599575,0.019306232823354922,0.0007787850800642093,0.003545436923110259
-45.0,-0.057119866428905326,10.0,0.0013628028404937993,-0.0033609979245275007,0.008318841126806031,0.026132872309228967,0.01500953569297131,0.003543561786599602
-45.0,-0.057119866428905326,15.0,0.002065567953309401,-0.0073023474035371,0.01170276082855004,0.035422331688319555,0.022997153400279996,0.006338324667648897
-45.0,-0.057119866428905326,20.0,0.003751783972166703,-0.0272687196766582,-0.005912515533069929,0.03985618711696442,-9.639246293499659e-05,0.018708438591413003
-45.0,-0.042839899821678996,-20.0,0.0018630336688499893,0.013262176955371394,0.002958254222019896,0.028054919949483868,-0.0007725652805589955,-0.009842928545256
-45.0,-0.042839899821678996,-15.0,0.0010329826668320982,0.004052308991629998,-0.0007186763502330384,0.022572463331576538,-0.004321427340537809,-0.003915788898141898
-45.0,-0.042839899821678996,-10.0,0.0015376944399876297,0.008951388067045998,0.009774429310871025,0.015098159868122211,0.011771440286065797,-0.005847282692722899
-45.0,-0.042839899821678996,-5.0,0.0005722813046457019,0.004016321401568702,0.003155070013847988,0.013186387115224211,0.00346636126311067,-0.0025170431384459995
-45.0,-0.042839899821678996,0.0,0.00033552926584599907,-0.0013457750257529302,-0.0014854935250199902,0.01264622955244425,-1.6628250184197446e-05,0.00079244308079566
-45.0,-0.042839899821678996,5.0,0.0006457202885035013,-0.0076573495510946984,-0.005473648248438989,0.013737484029833524,-0.00612512438027589,0.00458116083647956
-45.0,-0.042839899821678996,10.0,0.0013204910077291993,-0.012077091394848301,-0.007730347787023972,0.01680066167816247,-0.008618236163436002,0.0076179237210919
-45.0,-0.042839899821678996,15.0,0.0007928661957861995,-0.008307655119692697,0.005896857022960056,0.02546752441403986,0.012412876792644995,0.006443928022967001
-45.0,-0.042839899821678996,20.0,0.024212660797846702,-0.4635666566180261,-0.6631546316600201,-0.20746244157340019,-1.0964488791662,0.2757421757512738
-45.0,-0.028559933214452663,-20.0,0.0007775490741079999,0.008290701109628693,0.0007599551742498711,0.01885252033859397,-0.0014898724547739994,-0.006251346540304202
-45.0,-0.028559933214452663,-15.0,0.0032419123093365004,0.0018522232537823008,0.006880561076991976,0.013822360187939439,0.009272267348997887,-0.0021030144304945014
-45.0,-0.028559933214452663,-10.0,0.0003715342864680001,0.002420192157555498,0.0004843919150989695,0.01114229785874841,-0.00012549866366410103,-0.0019808480762806002
-45.0,-0.028559933214452663,-5.0,0.00022394665224060098,0.00044126809384860063,1.1573102364992316e-05,0.009124847657331611,-0.0002548372271917402,-0.0005386598068618
-45.0,-0.028559933214452663,0.0,0.0002482261384492007,-0.0007627021377104404,0.0011169532400679971,0.00840642620850021,-0.00030655929831979734,0.00045661841888930996
-45.0,-0.028559933214452663,5.0,-0.002725399478108098,-0.0655735939364393,-0.09513639002753793,-0.0036347689963029664,-0.12441903964618459,0.03329962320176656
-45.0,-0.028559933214452663,10.0,0.00028883359788440047,-0.003562808188816498,0.0023378884004949807,0.01255187226855387,0.004123461442549006,0.0027351593563960004
-45.0,-0.028559933214452663,15.0,-0.0001598399183425983,0.0001170278385832016,0.01333178043783012,0.01928084912801406,0.021367067685021,0.0011480563256992017
-45.0,-0.028559933214452663,20.0,0.001082696810626893,-0.013856437107970493,-0.0017840607072499015,0.01971585593471722,-0.0002959862395839896,0.009463174830186397
-45.0,-0.014279966607226332,-20.0,0.0004028251898699903,0.01190611346593369,0.008409847771229995,0.00640805767335987,0.013026257791345003,-0.007532647167678298
-45.0,-0.014279966607226332,-15.0,0.00021388396971320361,0.0031226980971700985,0.0006126301499780329,0.00704771069898434,0.00044684861544329324,-0.0022659507583642977
-45.0,-0.014279966607226332,-10.0,8.59506458622001e-05,0.0009441213595268033,-0.00015969257071202225,0.005622391567529061,-0.00042404962694810033,-0.0008497450137726972
-45.0,-0.014279966607226332,-5.0,6.375226740680182e-05,0.0003408113252225016,2.9509692799994935e-05,0.004540206098259781,-1.3808503484650375e-05,-0.0003299120710531997
-45.0,-0.014279966607226332,0.0,4.789085836339607e-05,-0.00041529453536487014,-7.890520005993107e-06,0.004205416838795939,-3.849744869689753e-05,0.0002461311280411299
-45.0,-0.014279966607226332,5.0,0.00014550092950380011,-0.0040048344519787,-0.003559519629175001,0.004297527313672793,-0.0045440265811237945,0.002251811493551959
-45.0,-0.014279966607226332,10.0,-8.538324624249999e-05,-5.0696952490398434e-05,0.004085856880988059,0.00681673014266009,0.005864901919753501,0.0004556591629899
-45.0,-0.014279966607226332,15.0,-0.00010254469258020107,-0.0028844370667470004,0.0025131611725799363,0.00845352824067826,0.004264782476483986,0.0022197981884230014
-45.0,-0.014279966607226332,20.0,0.0003237819880047982,-0.006866305376633394,-0.0003975482852598411,0.00987304640191972,0.00010720110262099625,0.004693675391643698
-45.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,0.014279966607226332,-20.0,0.000218297546735996,-0.0046730373728473,0.0004192585459998899,-0.009244502662964315,0.0006014856717179995,0.0034332024625422022
-45.0,0.014279966607226332,-15.0,0.00019852528255009938,-0.0021312630074828975,0.0008370118869279741,-0.0073175395566733095,0.0010588250099715923,0.0017324118369996012
-45.0,0.014279966607226332,-10.0,8.473091237513018e-05,-0.0009189139616452013,0.0005605915424330421,-0.00562855436331875,0.0005893524673052999,0.0008359542361608026
-45.0,0.014279966607226332,-5.0,3.11343800184008e-05,-0.0006325009049013008,-0.00011980211665602036,-0.004495121891714559,-0.00027088519763635976,0.00047787287233710084
-45.0,0.014279966607226332,0.0,5.75027218587959e-05,0.0004271165923900198,0.00027697226632700245,-0.004211939067137571,-5.536006725850168e-05,-0.0002520423670537501
-45.0,0.014279966607226332,5.0,7.396827310620496e-05,0.0007527210669434001,-0.0011418280711809614,-0.004907151713835797,-0.0013601963059172995,-0.0006211362963747108
-45.0,0.014279966607226332,10.0,0.00012534030319959893,0.002170333613583302,-0.0012567860467009861,-0.00615158004231579,-0.0014827029429970023,-0.0015708750611456
-45.0,0.014279966607226332,15.0,0.0004004086985395991,0.0031678746268799032,-0.002743344256110003,-0.00834528790812254,-0.003897068604020004,-0.0023800346261790006
-45.0,0.014279966607226332,20.0,0.00011279923696209948,0.006827007339762811,-0.0004920980560798593,-0.00987408348639622,-0.0004529017922109968,-0.004671482990681097
