# Aircraft: RC BIRE
# Date Generated: 2025-04-30 15:19:15
# Ventral Fins: False
# BIRE Angle Range: -45 to 45 deg
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

BIRE[deg],rbar,alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-0.009519977738150888,-20.0,-0.0005156632035830111,-0.0007928575030073104,-0.0029841754020800693,0.00411262975712637,-0.004057680258337998,0.0005748959787907973
-45.0,-0.009519977738150888,-15.0,-0.0003651623892382966,-0.0012231827235704013,-0.0028077344665280446,0.0033667268295420293,-0.0038536432874518994,0.0008929576976758995
-45.0,-0.009519977738150888,-10.0,-0.00027018548272848006,-0.0019888450694783982,-0.002997952362199019,0.0023691437634622502,-0.004163844061835099,0.0013965737784836021
-45.0,-0.009519977738150888,-5.0,-0.00015612021346769756,-0.0024538930554460006,-0.0030809648624240127,0.0010841237171313912,-0.0042695904596195995,0.001707951289381001
-45.0,-0.009519977738150888,0.0,-1.0722406371600768e-05,-0.0025242907461553053,-0.0031147536250430014,-0.00040466659072888907,-0.004263480543188397,0.001765886469110312
-45.0,-0.009519977738150888,5.0,0.00014518569655000424,-0.002565442302116399,-0.00344629730537499,-0.0018829747506349068,-0.004698920524125197,0.0017430325487979605
-45.0,-0.009519977738150888,10.0,0.00029124619126310106,-0.0024674522515727992,-0.003848356618081028,-0.0031619669546947603,-0.005196243374998993,0.0016090447352416007
-45.0,-0.009519977738150888,15.0,0.00010901484336819922,-0.00018456514999629775,-0.0009770140799398863,-0.00330187784929504,-0.0007331952530449937,0.0002858238323662013
-45.0,-0.009519977738150888,20.0,0.0006431000366245998,-0.0016514453332794887,-0.0045970884447099625,-0.0047837286333148495,-0.006141152523623988,0.0009840631489949
-45.0,-0.007139983303613166,-20.0,-0.0003886319195110094,-0.0005958308688090025,-0.002254370544769957,0.0030857781287802703,-0.003047122211534997,0.0004317427964175974
-45.0,-0.007139983303613166,-15.0,-0.0002762456108433009,-0.0009178307229628993,-0.0021176549242699627,0.0025269469980563498,-0.002893253390203604,0.0006698980904141019
-45.0,-0.007139983303613166,-10.0,-0.00020513050096965984,-0.001496006437979397,-0.0022588593502409493,0.0017800196987234301,-0.003129151819106002,0.0010496765192090016
-45.0,-0.007139983303613166,-5.0,-0.00011917131193299804,-0.001845664087024801,-0.002316841099156003,0.0008161763207329609,-0.0032078143207046605,0.0012835954073443009
-45.0,-0.007139983303613166,0.0,-9.457080924604733e-06,-0.001895479743571926,-0.0023276109662919986,-0.0003008588979579464,-0.0031990040614561996,0.001325521412966787
-45.0,-0.007139983303613166,5.0,0.00010699495319980296,-0.0019340047136206968,-0.0025872411465650003,-0.001411163249744307,-0.0035355602214013904,0.00131221681045896
-45.0,-0.007139983303613166,10.0,0.00021209011202519973,-0.001828369724515,-0.002833352117156962,-0.00236080021541486,-0.0038373423037010024,0.0011951416667932008
