# RCBIRE
parameter,independent_variables,4
parameter,coordinate_system,body
BIRE[deg],alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-45.0,-20.0,-20.0,-30.0,-0.09033267014,0.181283895872,0.183171424125,-0.003323463811,0.24983427058,-0.097961486281
-45.0,-20.0,-20.0,-20.0,-0.054046378621,0.130365880221,0.13221670033,-0.002458271756,0.180471059192,-0.070535542146
-45.0,-20.0,-20.0,-10.0,-0.021216184456,0.068360505866,0.06962160144,-0.001339490451,0.095102267179,-0.037054618588
-45.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,-20.0,10.0,-0.00494262214,-0.059804685227,-0.063071134093,0.001368208917,-0.086604870264,0.032641025804
-45.0,-20.0,-20.0,20.0,-0.022061045424,-0.103509665248,-0.109927488723,0.002530839506,-0.150993599466,0.056704259203
-45.0,-20.0,-20.0,30.0,-0.044118715174,-0.132790720618,-0.142059374047,0.003454551721,-0.195198079688,0.073001864526
-45.0,-20.0,-10.0,-30.0,-0.084203078,0.148437531098,0.156876423193,0.00370346234,0.208799533381,-0.081477382907
-45.0,-20.0,-10.0,-20.0,-0.050072193028,0.107855723497,0.113870662072,0.00269104229,0.151806751168,-0.059266373563
-45.0,-20.0,-10.0,-10.0,-0.019363279739,0.057278209587,0.060394661373,0.001446394315,0.080651790851,-0.031528299636
-45.0,-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,-10.0,10.0,-0.006071505606,-0.052293917833,-0.055033053076,-0.0014403755,-0.07396389438,0.029004041824
-45.0,-20.0,-10.0,20.0,-0.024106551235,-0.091749583117,-0.096453533511,-0.002713130297,-0.129706963837,0.051094042024
-45.0,-20.0,-10.0,30.0,-0.046892085221,-0.119125856323,-0.125133988846,-0.003765001066,-0.168354375322,0.066592968804
-45.0,-20.0,0.0,-30.0,-0.073948196098,0.117464918407,0.14336442013,0.0117913242,0.188697921658,-0.06439113883
-45.0,-20.0,0.0,-20.0,-0.04311102897,0.086793477803,0.10463114057,0.008563035234,0.137992196261,-0.047640086746
-45.0,-20.0,0.0,-10.0,-0.015918811053,0.047016957013,0.055908705671,0.004582294142,0.073895151252,-0.025857660593
-45.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-45.0,-20.0,0.0,10.0,-0.008652295385,-0.045772997637,-0.051176026394,-0.004512449558,-0.068023580208,0.025384481311
-45.0,-20.0,0.0,20.0,-0.028802446377,-0.081806915913,-0.09035295456,-0.008359031664,-0.120213719887,0.045543940133
-45.0,-20.0,0.0,30.0,-0.053233724708,-0.10789405229,-0.117863397819,-0.011439231423,-0.156926752218,0.060280615492
-45.0,-20.0,10.0,-30.0,-0.061718729096,0.101837822545,0.145543154107,0.016454805,0.19395292414,-0.054453193769
-45.0,-20.0,10.0,-20.0,-0.034627895555,0.076903418495,0.106964576805,0.011882255168,0.142828542815,-0.04123268892
-45.0,-20.0,10.0,-10.0,-0.011615472905,0.042730519025,0.057697554059,0.00631153172,0.077217022327,-0.022988628986
