# Aircraft: RC F16
# Date Generated: 2025-04-30 14:09:05
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

aileron[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-30.0,-20.0,-20.0,-0.11742146979877069,-0.056202633907109,-0.07670381659080006,0.0852736111941385,0.06894203090492601,0.022603903814218007
-30.0,-20.0,-15.0,-0.109258469235297,-0.04988628304505299,-0.09790314546891299,0.07492547365666999,0.07184623638472099,0.021732024365061012
-30.0,-20.0,-10.0,-0.0965349696821101,-0.03716952025727399,-0.11228759410050498,0.06593250513851728,0.0760596182122038,0.01814847883192601
-30.0,-20.0,-5.0,-0.08041879445663452,-0.023949798278542045,-0.10167943722766729,0.06279453319987541,0.1096213308546148,0.015523744591180014
-30.0,-20.0,0.0,-0.0664968930778344,-0.005467386937609009,-0.13176650609308369,0.0605115848869629,0.0742359356254703,0.009682423630615
-30.0,-20.0,5.0,-0.05477508814266391,0.005639747807752005,-0.14366704721218299,0.06168698485357849,0.0546011675791152,0.006773693673469999
-30.0,-20.0,10.0,-0.0435740434667663,-0.00786402876109299,-0.13832217151277693,0.0647219197822533,0.054750903076585006,0.013661638322750996
-30.0,-20.0,15.0,-0.04280029070312559,-0.131947269937747,-0.12490731942970013,0.0483076460480622,0.05833495994328203,0.073980430886849
-30.0,-20.0,20.0,0.081432537694835,0.722116996118407,-0.25454792092835987,0.15532126342868371,-0.179949796310792,-0.243230157339678
-30.0,-10.0,-20.0,-0.0864865041471791,-0.056991509298434995,-0.026020407266519996,0.0911880984840359,0.048264486462487016,0.017487572627477896
-30.0,-10.0,-15.0,-0.0840719644085218,-0.052596472565236,-0.03941686234581698,0.0839424828316906,0.049949181139505,0.0186812854815716
-30.0,-10.0,-10.0,-0.0794468792346522,-0.04399165196427299,-0.046473756258883,0.0785894230756702,0.056533244156773285,0.0182495173565025
-30.0,-10.0,-5.0,-0.07267946780823129,-0.032897523222276015,-0.03889625475209399,0.0760394080621636,0.07894139732247321,0.017101395595622203
-30.0,-10.0,0.0,-0.0649394843266908,-0.017292790259701984,-0.023563238575550996,0.0728052675775437,0.0875907482258902,0.0137228790519822
-30.0,-10.0,5.0,-0.0606811290929646,0.0026986690979690087,-0.05702466743971396,0.0754037410943758,0.0610130057824228,0.007402715328715396
-30.0,-10.0,10.0,-0.05544505926744711,0.01841851491358601,-0.07414360667291198,0.08002810154807448,0.03619089536885599,0.0026048628431061052
-30.0,-10.0,15.0,-0.05134638803941692,0.030233157781935,-0.07840911179479004,0.086626567281875,0.02554786173252499,0.00023896188582249456
-30.0,-10.0,20.0,-0.049233607552719195,0.030694487615278987,-0.07649265858228982,0.09443381112444175,0.019574483933148035,0.002025614794449501
-30.0,0.0,-20.0,-0.06810237157840501,-0.06024623825305799,0.022245521273550173,0.09347229532259596,0.005340765939227027,0.014975423628748988
-30.0,0.0,-15.0,-0.0679281622006588,-0.05596857700302381,0.01647875591852499,0.08798576292155917,0.004062806940071995,0.01642838459949124
-30.0,0.0,-10.0,-0.06735254257117118,-0.06325437266459513,0.010469863702595061,0.08300406857496506,0.0023974454656258137,0.02083000414213295
-30.0,0.0,-5.0,-0.0681280263832172,-0.0494088419960582,0.006503568778971985,0.08222244368532443,0.0027137620141638,0.019776109739389237
-30.0,0.0,0.0,-0.06829062455551671,-0.0246174616633199,-0.0022731480132789916,0.08183933957399311,-0.003869923468466596,0.0128751456809621
-30.0,0.0,5.0,-0.0675861262578107,-0.000938687009003037,-0.006327084263487048,0.0827376396001661,-0.003501621055802498,0.006130628124631873
-30.0,0.0,10.0,-0.0666903872666873,0.049677465522415906,-0.01029527262412,0.08972460307762425,-0.0031092140974289806,-0.01195393131542622
-30.0,0.0,15.0,-0.0675670159260974,0.031128415771983484,-0.016375756595059965,0.09260384064674622,-0.004813655802915012,-0.002124301479397612
-30.0,0.0,20.0,-0.0678795771601228,0.04716192016059121,-0.022543140598649813,0.10270775722665769,-0.0065386884234850395,-0.007664252704943432
-30.0,10.0,-20.0,-0.048938397459821786,-0.06961043630326899,0.0695724929714101,0.09009087985030201,-0.036816653294584,0.017107364298784303
-30.0,10.0,-15.0,-0.0495676297830156,-0.06488923837861399,0.07115204744099302,0.0829878498356402,-0.041560008976118,0.01788051654382701
-30.0,10.0,-10.0,-0.0524752394803974,-0.05554829860789301,0.06790493167788703,0.0776520028768668,-0.0501388591892314,0.016696590224400593
-30.0,10.0,-5.0,-0.05743901901652619,-0.04213861590496398,0.05200067413206502,0.0747524184554322,-0.0722769894475064,0.013666141388323304
-30.0,10.0,0.0,-0.0630804511312815,-0.026442996585006012,0.01896967017577189,0.0740491825084115,-0.0957834361188124,0.009872761622605801
-30.0,10.0,5.0,-0.0696198749879281,-0.009509944177375024,0.044774998740711947,0.076544122641689,-0.0683891185840519,0.005740627179061805
-30.0,10.0,10.0,-0.07654536027187417,0.004463035284832995,0.05296973849852704,0.08104306402933102,-0.044221412659338016,0.0025170263097495024
-30.0,10.0,15.0,-0.08212798593301701,0.017447880177520997,0.04660515199716997,0.0878730986158936,-0.03591395393189997,0.00021703546808400642
-30.0,10.0,20.0,-0.0859487355287125,0.019561915687756004,0.03235672883393015,0.09601880349139405,-0.033595082046038005,0.0016823478845418988
-30.0,20.0,-20.0,-0.015967456373155997,-0.083996346478031,0.11628963333894005,0.0840517591430969,-0.05613256197997199,0.023736354747253996
-30.0,20.0,-15.0,-0.020431205575163106,-0.07683415058941401,0.12598446418439102,0.07414281646021201,-0.06264099456608921,0.022570393887185985
-30.0,20.0,-10.0,-0.029450506166369402,-0.06342187910820501,0.130245328447536,0.0656064526758646,-0.0703504058602216,0.01847515698008298
