# Aircraft: RC F16
# Date Generated: 2025-04-30 14:02:27
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,2
parameter,coordinate_system,body

beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,0.158720494099451,0.46011581135764,1.085019395253,0.0486465965601615,0.244496526940156,-0.151952830657098
-20.0,-15.0,0.0946740226211126,0.457767237549779,0.767805124124809,0.051216193840218,0.142918130711319,-0.146239998178002
-20.0,-10.0,0.0418414008046147,0.448818378994913,0.45952681592027,0.0500207283749677,0.0479182796268762,-0.13937123105664
-20.0,-5.0,0.00513592239751262,0.430343026141121,0.169977728936912,0.0462857719465096,-0.0193727814026617,-0.130104203897164
-20.0,0.0,-0.0117247091909526,0.408036096708608,-0.0934696343735743,0.0440606151349191,-0.0438974984747657,-0.12005669508467
-20.0,5.0,-0.00628103940168409,0.395917850567642,-0.380918032208525,0.0393480616111845,-0.106345430885709,-0.11603995608176
-20.0,10.0,0.0224569069196438,0.398577360914164,-0.696445197476894,0.0348940594435339,-0.214743136883087,-0.120625364417453
-20.0,15.0,0.0667049557670659,0.369356386330918,-1.00257217789735,0.0310762301736236,-0.310771475428444,-0.114594180516521
-20.0,20.0,0.194900318699269,0.659398171298163,-1.63433780506485,0.0356275135940333,-0.77905683407264,-0.186134695714819
-10.0,-20.0,0.141419721212875,0.203487298485775,1.18149436267016,0.0226039826713811,0.221525514574849,-0.0677399484477161
-10.0,-15.0,0.0678847661818496,0.196453158862118,0.858655745343314,0.0241361694286774,0.147270203189929,-0.0633946049650205
-10.0,-10.0,0.0136493622479541,0.188963112216162,0.537285269420282,0.0240429583062608,0.0808721587532777,-0.0587652765502685
-10.0,-5.0,-0.0219991962592544,0.173771133381452,0.214302764943853,0.0209480005188952,0.0168064941045468,-0.0519654027163349
-10.0,0.0,-0.0386026560296052,0.15414258475831,-0.095728488126795,0.0155440971882105,-0.0268160637919936,-0.0438474069464823
-10.0,5.0,-0.0349592474615889,0.141300075412413,-0.40415102012543,0.0106981727214278,-0.0750821318404648,-0.0385994539149128
-10.0,10.0,-0.00985540913319279,0.139020808208323,-0.734448333233739,0.00769218979477092,-0.153140257657928,-0.0385479167133032
-10.0,15.0,0.0418526134200669,0.227178184002198,-1.07157905323708,0.019149948963106,-0.248439922299533,-0.0769169723058448
-10.0,20.0,0.108452208686702,0.129789850374111,-1.39543184263113,0.00516621164110025,-0.32931954457332,-0.0364132372829669
0.0,-20.0,0.123081673118482,-5.12195192326245e-18,1.22487158026966,3.26200930614651e-16,0.199839065986173,-1.8826715828691e-16
0.0,-15.0,0.0514990182920263,5.74726770526783e-18,0.895585377274744,3.28231304958748e-16,0.132174190684364,-1.39666501112009e-16
