# Aircraft: RC F16
# Date Generated: 2025-04-30 14:06:52
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

elevator[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-30.0,-20.0,-20.0,-0.0710089034013184,0.018255231063673993,0.21657952787155987,-0.015806503167630603,0.299467297829066,-0.008244073303286997
-30.0,-20.0,-15.0,-0.0671808881340324,0.022436948233769016,0.19647721232842608,-0.017173949952225,0.270651280230085,-0.011290859488367
-30.0,-20.0,-10.0,-0.0619842625497065,0.02797710138901699,0.178492066247099,-0.019355283015558705,0.2439058053700958,-0.01543396594982599
-30.0,-20.0,-5.0,-0.05995719259147912,0.02066039693058397,0.20197677649552503,-0.011807160509057203,0.2811741156562667,-0.011479197649094997
-30.0,-20.0,0.0,-0.0622211566103231,0.018463377357807953,0.2015179943309423,-0.010943576451956101,0.2800361352425887,-0.009494725137547996
-30.0,-20.0,5.0,-0.062455727728713106,0.02910019638714101,0.16494279156088398,-0.019255883575669402,0.222259609420682,-0.015273250329591995
-30.0,-20.0,10.0,-0.05504540789034171,0.033886763637411,0.178288625549488,-0.015195540824134803,0.24240665985072998,-0.018828118429779994
-30.0,-20.0,15.0,-0.05103081960998009,0.04607909979575503,0.18716970824331802,-0.011514632476807202,0.25416310867722663,-0.024569542543199
-30.0,-20.0,20.0,-0.050727486281145984,0.047967139661116986,0.20278968201214997,-0.010363629131987,0.27801238424852903,-0.024681645850521988
-30.0,-10.0,-20.0,-0.0746219756080886,0.008382851700740018,0.21452295608185,-0.008023905107787901,0.3001654992295769,-0.0032859666872476073
-30.0,-10.0,-15.0,-0.07165645452545029,0.01006773491944099,0.19581551405312603,-0.008657949710566102,0.273761800295455,-0.004586653192948598
-30.0,-10.0,-10.0,-0.0686143570287943,0.011712875609193013,0.18299659338750096,-0.008967559184145001,0.2556173958091543,-0.005749564792697601
-30.0,-10.0,-5.0,-0.0654313158531209,0.011569582312957988,0.17802910329625302,-0.008564143280105598,0.24845744953217022,-0.0059905473953816984
-30.0,-10.0,0.0,-0.0639834382855898,0.01182706707925299,0.17279619545457892,-0.008535482810592892,0.2404369298346686,-0.006334089906150302
-30.0,-10.0,5.0,-0.0622188258804818,0.013011483984437022,0.17133366457706703,-0.008462355981860379,0.2376917184940348,-0.007190169638994305
-30.0,-10.0,10.0,-0.05911956405881222,0.015828030115815017,0.172283369398756,-0.00836537073253924,0.2381545341070541,-0.008915842480121894
