# Aircraft: RC F16
# Date Generated: 2025-04-30 14:04:41
# Ventral Fins: False
# Reference Area (ft^2): 2.98
# Longitudinal Reference Length (ft): 1.097
# Lateral Reference Length (ft): 3
parameter,independent_variables,3
parameter,coordinate_system,body

rudder[deg],beta[deg],alpha[deg],Cx,Cy,Cz,Cl,Cm,Cn
-30.0,-20.0,-20.0,-0.01493533935514299,-0.103128721830469,0.008727116654609901,-0.0234177122852855,0.022456380483430016,0.0602688497569137
-30.0,-20.0,-15.0,-0.013546128491836104,-0.09760940398998297,0.004949114023982015,-0.0225438327211788,0.016977478511981003,0.057858620431655114
-30.0,-20.0,-10.0,-0.011685629277343804,-0.09168515903408303,0.0014901323358270102,-0.021490667002012704,0.011291549847823004,0.05515472580190961
-30.0,-20.0,-5.0,-0.00952306621577721,-0.08559392738917104,-0.00027569562754498067,-0.019930804831896104,0.007763604980948701,0.05226302940621981
-30.0,-20.0,0.0,-0.0072511806660643,-0.07936816500012,-0.0030621169217978916,-0.0186562381850493,0.0022921342712839965,0.049197535822271904
-30.0,-20.0,5.0,-0.0048401058392668105,-0.07406138496060799,-0.006551513053829006,-0.017688617404688203,-0.004529315126915998,0.0465406219187907
-30.0,-20.0,10.0,-0.0021246981064091015,-0.071401849868582,-0.009085998477055934,-0.016889925268489103,-0.010134658263744017,0.045154768855462005
-30.0,-20.0,15.0,-0.0015661705004707954,-0.07278631082703202,-0.009592221143180035,-0.016839863252428502,-0.011925750015961967,0.0455492252565083
-30.0,-20.0,20.0,-0.05235393332864299,-0.014623615717595073,0.036920296207920034,-0.003618315295002998,0.07772435202355399,0.015866070576252
-30.0,-10.0,-20.0,-0.016730072868532994,-0.09225944458152499,0.00902521860191996,-0.021238461642516183,0.023274022445136988,0.055181601519492494
-30.0,-10.0,-15.0,-0.015947158092536905,-0.08519740574768,0.006623991675270946,-0.019979447859530552,0.019810465604811006,0.0520281594780746
-30.0,-10.0,-10.0,-0.01483662533224534,-0.077391385999441,0.004392140515218967,-0.01845407003325085,0.01627899328848599,0.0483737919890662
-30.0,-10.0,-5.0,-0.0136981362119174,-0.069327833002177,0.0028497220737160045,-0.01670455892457948,0.013498733879075499,0.044487300915829774
-30.0,-10.0,0.0,-0.0128484026868083,-0.0608944322222736,0.0015692727762185027,-0.014828153515461835,0.0108793488302533,0.04032040248749736
-30.0,-10.0,5.0,-0.0120373438930401,-0.05250868987395349,3.0758325746005344e-05,-0.01290040834439802,0.008211819588110902,0.03609125249270088
-30.0,-10.0,10.0,-0.01073189026062021,-0.04494635009827659,-0.0017824572280269457,-0.011091364799827471,0.0047423249993219785,0.03218905239003096
-30.0,-10.0,15.0,-0.004163499773788201,-0.041978927665582005,-0.00783794603184007,-0.010042044978779871,-0.007387517973765023,0.030294244870477292
-30.0,-10.0,20.0,-0.008398992223653992,-0.025549448530018004,-0.0064583586894699785,-0.0066689066177096495,-0.0034703075054929866,0.022331185916563703
-30.0,0.0,-20.0,-0.018723279921984,-0.0911361391676619,0.010082302439150093,-0.021085688448663226,0.02566072668465902,0.05470669450928279
-30.0,0.0,-15.0,-0.0186484740808918,-0.0850501173369008,0.009348202864799982,-0.01985690168330723,0.02468173908945398,0.05176096987424154
-30.0,0.0,-10.0,-0.01849288985343218,-0.07334346951882353,0.008554681509000073,-0.017805953121474143,0.023617123466169912,0.04691489489445476
-30.0,0.0,-5.0,-0.018431757071061504,-0.0688415846872879,0.007864953368229982,-0.016411007635403374,0.022727446460718,0.04409354739525993
-30.0,0.0,0.0,-0.018119135104876595,-0.0581670769069891,0.007001578444398998,-0.014313420570452283,0.021485812919272103,0.0390993068779414
-30.0,0.0,5.0,-0.017836808789784497,-0.051066769161236314,0.006240266507499981,-0.0125274547223217,0.02036430286787899,0.03532048900013761
-30.0,0.0,10.0,-0.0172673924819387,-0.04086425778750089,0.005391174627586981,-0.010574244267281147,0.018929344981990018,0.03047215561659188
-30.0,0.0,15.0,-0.016901988740016752,-0.03833144993417621,0.005250045462390052,-0.009491706564783252,0.018502676482527985,0.02872744957387969
-30.0,0.0,20.0,-0.01585343265399569,-0.03429276530620539,0.005393561697970117,-0.0086421318599738,0.018043508897835958,0.026642498202726888
-30.0,10.0,-20.0,-0.020638790524345987,-0.09927509298497103,0.011357687267049998,-0.022847872858339096,0.028249904285104988,0.05870574247118841
-30.0,10.0,-15.0,-0.021291272459166094,-0.092356459202253,0.01231236057163898,-0.021640413031473,0.029789361583384993,0.055633488388873706
-30.0,10.0,-10.0,-0.022226203016943363,-0.084672091743872,0.013063127705331024,-0.0201618933319679,0.0313806141426522,0.05205436982475249
-30.0,10.0,-5.0,-0.023119591593334998,-0.07663307414786902,0.013070199614653,-0.0184391608213077,0.032141665909790396,0.0481987451729129
-30.0,10.0,0.0,-0.0236498460514628,-0.068106372794212,0.01266237238525339,-0.016564662403991605,0.03249789918711162,0.0440050054103623
-30.0,10.0,5.0,-0.023991980361610606,-0.059583732293713,0.012262944785535967,-0.0146283382652433,0.0324592338372844,0.03972610090298911
-30.0,10.0,10.0,-0.024634827630204158,-0.051939357940660014,0.012078661860948081,-0.012819930497816871,0.032961254518382985,0.035798437321102695
-30.0,10.0,15.0,-0.030381561791926304,-0.049680358846076994,0.016718429687559988,-0.0119441368071166,0.04265164166899302,0.03426793191495721
-30.0,10.0,20.0,-0.024109758429452594,-0.031923494117713,0.008766825416820057,-0.008298725557787639,0.028993935723618025,0.0256644721590866
-30.0,20.0,-20.0,-0.022114090324604985,-0.11794905737815597,0.012065143044510007,-0.026803381392017996,0.02930079446459899,0.067693267908262
-30.0,20.0,-15.0,-0.023459366552108896,-0.11283214463595204,0.014511480908660057,-0.026050711875682198,0.033014881847545,0.06550295459355998
-30.0,20.0,-10.0,-0.025295463588723,-0.10726098733360095,0.016659045967154007,-0.0251111412629006,0.0370393792258788,0.063003375910022
-30.0,20.0,-5.0,-0.02746023605421703,-0.10143766472795696,0.01712229119285999,-0.023648815087866502,0.038977477664035004,0.060279296196353
-30.0,20.0,0.0,-0.0297230363707053,-0.09541784388540903,0.018629706417259403,-0.022464861264992204,0.04291034085661494,0.05735354798076801
-30.0,20.0,5.0,-0.03206029224254834,-0.09032256948545797,0.020888466563383,-0.0215915346299788,0.0482225317438453,0.05483930061673199
-30.0,20.0,10.0,-0.034633174039071096,-0.08802081232196096,0.022388030334841047,-0.020915075593531,0.052515716634550985,0.05366562393801699
-30.0,20.0,15.0,-0.035432386477864904,-0.09032652975789102,0.022506860970282982,-0.021070625005260298,0.05403653894913202,0.05451321388950199
-30.0,20.0,20.0,0.02354555693121002,-0.023517108866858982,-0.029353735784499957,-0.0059563843862575,-0.04705816111174199,0.02056008371996801
-20.0,-20.0,-20.0,-0.00833959668328399,-0.077569529541345,0.0047435378827198615,-0.0176079251631315,0.01255339355215701,0.044612252791993004
-20.0,-20.0,-15.0,-0.007340610566474101,-0.07356205351211498,0.0020474690254730366,-0.016979565314564703,0.008642389557549979,0.04286713703198401
-20.0,-20.0,-10.0,-0.005987190886080802,-0.069262433620704,-0.0004119503514209977,-0.016221204302531704,0.0045712198766463055,0.040909913902977116
-20.0,-20.0,-5.0,-0.004402248001558041,-0.06484342802488302,-0.0016207733599169771,-0.015091162758488104,0.0020851093547586998,0.038816993028423105
-20.0,-20.0,0.0,-0.002730705631672199,-0.060327848451666,-0.0035768449481219933,-0.0141727863287105,-0.0018321785832264015,0.036597914649635604
-20.0,-20.0,5.0,-0.0009557716460397098,-0.05649174180343902,-0.006046196952325,-0.0134817059415861,-0.0067383231188850035,0.034681424813988795
-20.0,-20.0,10.0,0.0010439144082399002,-0.05461460359915299,-0.007817367931010955,-0.012917158918207303,-0.010753570294938009,0.0337057151961731
