# RCF16
parameter,independent_variables,3
parameter,coordinate_system,body
alpha[deg],beta[deg],aileron[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,-15.0,-3.771644472702,-0.069862073191,-12.355656792027,0.047958225936,-7.576324551058,0.027564099264
-20.0,-20.0,-10.0,-2.630865906739,-0.048798708251,-8.628102860829,0.033011093103,-5.291661881124,0.0190293963
-20.0,-20.0,-5.0,-1.330222656571,-0.024754296004,-4.367012260292,0.016506890642,-2.678881721262,0.009572416226
-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-20.0,5.0,1.347802743208,0.029093889886,4.475063456445,-0.016454979457,2.745277945383,-0.009946229044
-20.0,-20.0,10.0,2.725396467884,0.059087182773,9.056257059338,-0.032736593857,5.556479548581,-0.020128336644
-20.0,-20.0,15.0,3.984041855784,0.087120253963,13.25088456051,-0.047337162756,8.131341920269,-0.029574898057
-20.0,-10.0,-15.0,-0.075923600074,-0.016336076962,-0.141427925303,0.053874888927,-0.04754529911,0.00321280006
-20.0,-10.0,-10.0,-0.050374100507,-0.011241258285,-0.100334107596,0.03711198004,-0.034689110249,0.002051648639
-20.0,-10.0,-5.0,-0.024331936937,-0.00565296328,-0.051695709641,0.018569403536,-0.018407005276,0.000985351741
-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-10.0,5.0,0.010369742215,0.007647144382,0.057126827119,-0.018523896668,0.020946408663,-0.00108727329
-20.0,-10.0,10.0,0.019129108254,0.015530885453,0.11741627808,-0.03691037931,0.043925226047,-0.002198756398
-20.0,-10.0,15.0,0.024910346914,0.0231290297,0.174544199452,-0.053435244873,0.066651877389,-0.003359743384
-20.0,0.0,-15.0,-0.028681081425,-0.012974487843,0.008809802943,0.055805530063,0.004522204836,0.000182662271
-20.0,0.0,-10.0,-0.017159339132,-0.008714856404,0.004874940586,0.03849330818,0.002225916106,-2.0044992e-05
-20.0,0.0,-5.0,-0.007383928992,-0.004314018486,0.001826033889,0.019286643129,0.000677774403,-3.6011341e-05
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.0,5.0,-0.007383928992,0.004314018486,0.001826033889,-0.019286643129,0.000677774403,3.6011341e-05
-20.0,0.0,10.0,-0.017159339132,0.008714856404,0.004874940586,-0.03849330818,0.002225916106,2.0044992e-05
-20.0,0.0,15.0,-0.028681081425,0.012974487843,0.008809802943,-0.055805530063,0.004522204836,-0.000182662271
-20.0,10.0,-15.0,0.024910346914,-0.0231290297,0.174544199452,0.053435244873,0.066651877389,0.003359743384
-20.0,10.0,-10.0,0.019129108254,-0.015530885453,0.11741627808,0.03691037931,0.043925226047,0.002198756398
-20.0,10.0,-5.0,0.010369742215,-0.007647144382,0.057126827119,0.018523896668,0.020946408663,0.00108727329
-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,10.0,5.0,-0.024331936937,0.00565296328,-0.051695709641,-0.018569403536,-0.018407005276,-0.000985351741
-20.0,10.0,10.0,-0.050374100507,0.011241258285,-0.100334107596,-0.03711198004,-0.034689110249,-0.002051648639
-20.0,10.0,15.0,-0.075923600074,0.016336076962,-0.141427925303,-0.053874888927,-0.04754529911,-0.00321280006
-20.0,20.0,-15.0,3.984041855784,-0.087120253963,13.25088456051,0.047337162756,8.13134192027,0.029574898057
-20.0,20.0,-10.0,2.725396467884,-0.059087182773,9.056257059339,0.032736593857,5.556479548581,0.020128336644
