# RCF16
parameter,independent_variables,3
parameter,coordinate_system,body
alpha[deg],beta[deg],elevator[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,-15.0,0.007125135816,0.012916622123,0.219616528625,-0.00941038621,0.218148386647,-0.006458067076
-20.0,-20.0,-10.0,0.008899837201,0.008548985769,0.150886924914,-0.006468123484,0.149670915607,-0.004287648215
-20.0,-20.0,-5.0,0.006564085078,0.004082668928,0.074937251617,-0.003220589897,0.074192984156,-0.002054871023
-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-20.0,5.0,-0.014890830104,-0.002613631489,-0.073319248446,0.003181573823,-0.072212563324,0.001309538324
-20.0,-20.0,10.0,-0.03365366091,-0.004838283912,-0.144842549317,0.006379795445,-0.142037710353,0.002423218238
-20.0,-20.0,15.0,-0.05396451707,-0.006422526819,-0.207198785375,0.009267481318,-0.202318193384,0.003215924855
-20.0,-10.0,-15.0,-0.02945222755,0.00499723865,0.117670189288,-0.004822684458,0.157360458485,-0.001977246554
-20.0,-10.0,-10.0,-0.016297604287,0.003264159231,0.080388592303,-0.003320215015,0.107565393064,-0.001286115632
-20.0,-10.0,-5.0,-0.005998600696,0.001538645557,0.039647214212,-0.00165614719,0.053079953897,-0.000604036504
-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-10.0,5.0,-0.002462434757,-0.0007610229,-0.037868689688,0.001647641139,-0.050868326742,0.000212923903
-20.0,-10.0,10.0,-0.008863561582,-0.001336493323,-0.073875990646,0.00330994668,-0.099255937757,0.000340886046
-20.0,-10.0,15.0,-0.018160912286,-0.0016541752,-0.10438024846,0.004816276801,-0.140268515521,0.000363160733
-20.0,0.0,-15.0,-0.030671811334,0.0,0.116159511903,-0.0,0.156584144088,-0.0
-20.0,0.0,-10.0,-0.017116606975,0.0,0.079321636462,-0.0,0.106995928626,-0.0
-20.0,0.0,-5.0,-0.006396258357,0.0,0.039101621855,-0.0,0.052778162332,-0.0
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.0,5.0,-0.002119071252,-0.0,-0.037279758096,-0.0,-0.050506480376,-0.0
-20.0,0.0,10.0,-0.008196998861,0.0,-0.072680402334,-0.0,-0.098508540472,-0.0
-20.0,0.0,15.0,-0.017222707877,0.0,-0.102629067172,-0.0,-0.139159731017,-0.0
-20.0,10.0,-15.0,-0.02945222755,-0.00499723865,0.117670189288,0.004822684458,0.157360458485,0.001977246554
-20.0,10.0,-10.0,-0.016297604287,-0.003264159231,0.080388592303,0.003320215015,0.107565393064,0.001286115632
-20.0,10.0,-5.0,-0.005998600696,-0.001538645557,0.039647214212,0.00165614719,0.053079953897,0.000604036504
-20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,10.0,5.0,-0.002462434757,0.0007610229,-0.037868689688,-0.001647641139,-0.050868326742,-0.000212923903
-20.0,10.0,10.0,-0.008863561582,0.001336493323,-0.073875990646,-0.00330994668,-0.099255937757,-0.000340886046
-20.0,10.0,15.0,-0.018160912286,0.0016541752,-0.10438024846,-0.004816276801,-0.140268515521,-0.000363160733
-20.0,20.0,-15.0,0.007125135816,-0.012916622123,0.219616528625,0.00941038621,0.218148386647,0.006458067076
-20.0,20.0,-10.0,0.008899837201,-0.008548985769,0.150886924914,0.006468123484,0.149670915607,0.004287648215
-20.0,20.0,-5.0,0.006564085078,-0.004082668928,0.074937251617,0.003220589897,0.074192984156,0.002054871023
-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,20.0,5.0,-0.014890830104,0.002613631489,-0.073319248446,-0.003181573823,-0.072212563324,-0.001309538324
-20.0,20.0,10.0,-0.03365366091,0.004838283912,-0.144842549317,-0.006379795445,-0.142037710353,-0.002423218238
-20.0,20.0,15.0,-0.05396451707,0.006422526819,-0.207198785375,-0.009267481318,-0.202318193384,-0.003215924855
-15.0,-20.0,-15.0,-0.020770375024,0.013648406484,0.117488732231,-0.010123127839,0.148182295475,-0.007162529282
-15.0,-20.0,-10.0,-0.010477123293,0.00893415841,0.080785113959,-0.006944180346,0.101974752565,-0.004694031713
-15.0,-20.0,-5.0,-0.00317344307,0.004217535347,0.04013222033,-0.003449435766,0.050696302947,-0.002219409965
-15.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,-20.0,5.0,-0.004920099889,-0.002405081325,-0.039019036815,0.003413630607,-0.049435195689,0.001253410712
-15.0,-20.0,10.0,-0.013733710325,-0.004320045732,-0.076718449995,0.0068280767,-0.097168012773,0.002252475894
-15.0,-20.0,15.0,-0.025145606398,-0.005534274578,-0.109184565723,0.009898841359,-0.138236064688,0.002887432835
-15.0,-10.0,-15.0,-0.026596516028,0.005907209503,0.112313628217,-0.005100551953,0.147808730111,-0.002703273036
-15.0,-10.0,-10.0,-0.014419047411,0.00385118613,0.077142649282,-0.003502806306,0.101618929042,-0.001757706708
-15.0,-10.0,-5.0,-0.005105309012,0.001811397813,0.038276570454,-0.001742134587,0.050468793002,-0.000824712285
-15.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,-10.0,5.0,-0.003223142719,-0.0009325042,-0.037074561523,0.001730710732,-0.049084549001,0.000369242987
-15.0,-10.0,10.0,-0.010393170121,-0.001647586095,-0.072791707027,0.003465755357,-0.096414074612,0.00063254807
-15.0,-10.0,15.0,-0.02038520616,-0.002063332306,-0.103467138256,0.005028989076,-0.137099796717,0.000757961022
-15.0,0.0,-15.0,-0.028950932164,0.0,0.107558604059,0.0,0.145182856094,-0.0
-15.0,0.0,-10.0,-0.016017126463,-0.0,0.073835126337,-0.0,0.099772550182,-0.0
-15.0,0.0,-5.0,-0.005890411751,0.0,0.03661113542,-0.0,0.049529140413,-0.0
-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.0,0.0,5.0,-0.002510132949,0.0,-0.035371425885,-0.0,-0.048093142373,-0.0
-15.0,0.0,10.0,-0.008989105455,0.0,-0.069369809297,-0.0,-0.094410279352,-0.0
-15.0,0.0,15.0,-0.018382989084,-0.0,-0.098496522505,0.0,-0.134176885506,0.0
