# RCF16
parameter,independent_variables,2
parameter,coordinate_system,body
alpha[deg],qbar,Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-0.026941536999,0.016851772322,-0.0,0.079730549538,0.0,0.090498210753,0.0
-20.0,-0.020954528777,0.012758625239,0.0,0.061102399885,0.0,0.069239566691,-0.0
-20.0,-0.014967520555,0.008870408075,-0.0,0.043018638252,0.0,0.048669818131,0.0
-20.0,-0.008980512333,0.00517990088,-0.0,0.025450139275,-0.0,0.028749386585,0.0
-20.0,-0.002993504111,0.00168026738,-0.0,0.008367857998,0.0,0.009438840385,0.0
-20.0,0.002993504111,-0.001634932272,-0.0,-0.008257147625,-0.0,-0.00930107314,0.0
-20.0,0.008980512333,-0.004771729757,-0.0,-0.024453695568,0.0,-0.02750939755,0.0
-20.0,0.014967520555,-0.00773573789,-0.0,-0.040250460015,0.0,-0.04522493938,0.0
-20.0,0.020954528777,-0.010532140973,-0.0,-0.055675953164,-0.0,-0.062486242574,0.0
-20.0,0.026941536999,-0.013165686252,-0.0,-0.070758508624,-0.0,-0.079331565317,0.0
-15.0,-0.026941536999,0.012501291666,-0.0,0.069581873385,0.0,0.081275644666,-0.0
-15.0,-0.020954528777,0.009428321964,0.0,0.053445951759,0.0,0.062363500051,0.0
-15.0,-0.014967520555,0.006528131106,0.0,0.037717849473,0.0,0.043968831924,-0.0
-15.0,-0.008980512333,0.003795450721,0.0,0.022369801505,0.0,0.026054037112,-0.0
-15.0,-0.002993504111,0.001225423011,0.0,0.007374205867,-0.0,0.008581774467,0.0
-15.0,0.002993504111,-0.001186391658,0.0,-0.007296362825,-0.0,-0.008485016,-0.0
-15.0,0.008980512333,-0.003444008095,0.0,-0.021669141244,-0.0,-0.025183096206,-0.0
-15.0,0.014967520555,-0.005551010602,0.0,-0.035771166689,-0.0,-0.041548915278,-0.0
-15.0,0.020954528777,-0.007510548243,0.0,-0.049629267816,0.0,-0.057618596956,-0.0
-15.0,0.026941536999,-0.009325331096,0.0,-0.063270056685,-0.0,-0.073427929015,-0.0
-10.0,-0.026941536999,0.008699292442,0.0,0.062809579205,0.0,0.075282452327,0.0
-10.0,-0.020954528777,0.006506353834,-0.0,0.048393870797,0.0,0.057969547281,0.0
-10.0,-0.014967520555,0.004464508111,0.0,0.034261862061,0.0,0.041019658534,-0.0
-10.0,-0.008980512333,0.002570407858,0.0,0.020387116782,0.0,0.024397150444,-0.0
-10.0,-0.002993504111,0.000821128755,-0.0,0.006743385619,0.0,0.008066681535,-0.0
-10.0,0.002993504111,-0.000785826329,-0.0,-0.006695387932,0.0,-0.008006787507,-0.0
