# RCF16
parameter,independent_variables,3
parameter,coordinate_system,body
alpha[deg],beta[deg],rudder[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,-15.0,-0.896976792963,-0.070479358435,-2.944738855296,-0.013837904563,-1.81579760008,0.038025050369
-20.0,-20.0,-10.0,-0.620265949732,-0.049185292729,-2.039790657176,-0.009667345162,-1.258743836454,0.026440971232
-20.0,-20.0,-5.0,-0.310554348564,-0.024859143375,-1.023069297319,-0.00489138798,-0.631831752069,0.013367531114
-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-20.0,5.0,0.309103086072,0.025559541393,1.029945750958,0.00505327719,0.638837498237,-0.013761345011
-20.0,-20.0,10.0,0.618970731725,0.051482095434,2.066285916012,0.010186047719,1.282696870105,-0.027755137972
-20.0,-20.0,15.0,0.896941700514,0.074990457819,2.999667877619,0.014847893297,1.86358037926,-0.040635903509
-20.0,-10.0,-15.0,-0.015246991856,-0.051569005537,-0.022767082232,-0.012189752676,-0.007060290614,0.029929366453
-20.0,-10.0,-10.0,-0.009664204473,-0.03589226089,-0.016390169679,-0.008481273959,-0.006247200213,0.020721404139
-20.0,-10.0,-5.0,-0.00439142863,-0.018086274946,-0.008556535892,-0.004272404413,-0.003849803611,0.010436446914
-20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,-10.0,5.0,0.001315497001,0.01837816191,0.009779483315,0.00434393899,0.007303257474,-0.010607637586
-20.0,-10.0,10.0,0.001710017976,0.036860380027,0.020303331945,0.00871404831,0.016108338141,-0.021301082272
-20.0,-10.0,15.0,0.001161320451,0.05347809502,0.030386718046,0.012645604373,0.025377861224,-0.031088023453
-20.0,0.0,-15.0,-0.007066910012,-0.050152254283,0.003545009532,-0.011960690893,0.009007459816,0.029358252249
-20.0,0.0,-10.0,-0.003971562963,-0.034740428482,0.001846708406,-0.008282428915,0.00486966093,0.020220002871
-20.0,0.0,-5.0,-0.00152152001,-0.017415041046,0.000598521838,-0.004150723112,0.001721416125,0.01012681566
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.0,5.0,-0.00152152001,0.017415041046,0.000598521838,0.004150723112,0.001721416125,-0.01012681566
-20.0,0.0,10.0,-0.003971562963,0.034740428482,0.001846708406,0.008282428915,0.00486966093,-0.020220002871
-20.0,0.0,15.0,-0.007066910012,0.050152254283,0.003545009532,0.011960690893,0.009007459816,-0.029358252249
-20.0,10.0,-15.0,0.001161320451,-0.05347809502,0.030386718046,-0.012645604373,0.025377861224,0.031088023453
